# LR rup_force
4.058788210696686553e-09 4.949084515566013210e-10
3.404958910895456617e-09 4.068587249938768845e-10
3.616406374511639192e-09 4.339630411079323980e-10
3.529524840342405294e-09 4.226838864670747856e-10
4.261388914839554807e-09 5.250905976288319510e-10
3.947892906734470067e-09 4.790317030871253893e-10
3.972878214943636787e-09 4.825713257860396762e-10
4.177353363095045909e-09 5.123784408322888890e-10
3.525004901941438018e-09 4.221026604492793554e-10
3.781433785418671312e-09 4.559766583227350448e-10
3.776629312245925689e-09 4.553243104323158701e-10
3.691047107899944490e-09 4.438208948908000406e-10
3.947892906734470067e-09 4.790317030871253893e-10
3.987931197778854071e-09 4.847142335113491283e-10
4.208718681242551666e-09 5.170901234210616807e-10
3.480095615872759521e-09 4.163567840786288959e-10
4.193013709205722940e-09 5.147260869940844815e-10
3.820058201019127031e-09 4.612470531361463374e-10
4.079216571237431306e-09 4.978810222993204996e-10
3.634939985644412262e-09 4.363960069996068199e-10
4.028298269121501292e-09 4.904999449871904619e-10
3.888455569947868540e-09 4.706960515520639230e-10
4.229727800460058578e-09 5.202679327598866510e-10
3.556755282474202775e-09 4.261969937018084159e-10
4.089461170249852903e-09 4.993775004899038342e-10
4.271981742831370853e-09 5.267132599466476559e-10
3.868809221097060531e-09 4.679664924739949168e-10
4.099726001623258235e-09 5.008808292503362477e-10
3.052168709963424203e-09 3.644805726049541063e-10
3.639586577802757148e-09 4.370074952164931543e-10
4.208718681242551666e-09 5.170901234210616807e-10
3.982908394806222846e-09 4.839983252618897941e-10
3.937934907724224324e-09 4.776269048487776318e-10
2.368882416002481998e-09 2.877939213551788736e-10
3.700472075011853893e-09 4.450770673165983867e-10
4.068992239885170041e-09 4.963913530819985468e-10
4.063887685400890645e-09 4.956490589256580167e-10
3.893380157885864432e-09 4.713822272550625422e-10
3.020937675676650901e-09 3.608035693407339660e-10
4.140986916139975028e-09 5.069634931184400046e-10
4.089461170249852903e-09 4.993775004899038342e-10
4.156542572481741883e-09 5.092734806776202915e-10
4.130641524669721864e-09 5.054323397061016555e-10
3.957871560873455602e-09 4.804427972175530276e-10
4.003030417327708441e-09 4.868716503229731909e-10
3.475633685212851043e-09 4.157887611919412335e-10
3.786243502310675922e-09 4.566304301316437333e-10
