# LR rup_force class
1.119884412610192684e-09 1.585262223576903429e-10 3.000000000000000000e+00
3.799345537299485361e-09 4.579422621252362800e-10 1.000000000000000000e+00
4.083395094544570433e-09 4.978810222993204996e-10 1.000000000000000000e+00
4.145332875436407960e-09 5.069634931184400046e-10 1.000000000000000000e+00
9.708412589433108453e-10 1.624398177284031769e-10 2.000000000000000000e+00
4.017126556908123922e-09 4.883180536288312391e-10 1.000000000000000000e+00
4.037424339923651023e-09 4.912305382975012007e-10 1.000000000000000000e+00
3.981804314562925966e-09 4.832840242908276112e-10 1.000000000000000000e+00
1.304641837158643573e-09 1.776109260969598359e-10 3.000000000000000000e+00
1.081391053022429914e-09 1.757045308745884942e-10 2.000000000000000000e+00
8.492230323159009300e-10 1.475961879457731501e-10 2.000000000000000000e+00
4.192264505578623867e-09 5.139417246402020941e-10 1.000000000000000000e+00
3.926811761513467128e-09 4.755314304801039735e-10 1.000000000000000000e+00
1.071277613203089572e-09 1.744982845362439332e-10 2.000000000000000000e+00
1.064958363247888843e-09 1.530369990623514546e-10 3.000000000000000000e+00
1.063153251665644999e-09 1.735282895626758163e-10 2.000000000000000000e+00
1.269441974958184491e-09 1.739923412379625293e-10 3.000000000000000000e+00
9.083300472712574291e-10 1.548487203082488017e-10 2.000000000000000000e+00
4.218513266345803532e-09 5.178818042475925349e-10 1.000000000000000000e+00
9.448464566832051439e-10 1.403433334399604963e-10 3.000000000000000000e+00
4.314035236751421456e-09 5.324530015860257478e-10 1.000000000000000000e+00
3.487347387539043083e-09 4.169259906029891793e-10 1.000000000000000000e+00
1.074110761327643081e-09 1.748362791964419454e-10 2.000000000000000000e+00
4.166141023601668301e-09 5.100470336440791680e-10 1.000000000000000000e+00
1.341048333177309757e-09 1.813474013115229313e-10 3.000000000000000000e+00
1.126537005202144864e-09 1.808176012626969304e-10 2.000000000000000000e+00
4.223777992553869691e-09 5.186753289191726127e-10 1.000000000000000000e+00
4.140143468588351025e-09 5.061970361981291330e-10 1.000000000000000000e+00
9.721117924490160395e-10 1.625933280970235678e-10 2.000000000000000000e+00
9.856832105417746412e-10 1.446822043638705644e-10 3.000000000000000000e+00
4.276698112348325624e-09 5.267132599466476559e-10 1.000000000000000000e+00
4.047604131059098849e-09 4.926966991559633564e-10 1.000000000000000000e+00
3.961734197456648562e-09 4.804427972175530276e-10 1.000000000000000000e+00
1.060892386076157654e-09 1.732580739458952706e-10 2.000000000000000000e+00
4.073143485919408741e-09 4.963913530819985468e-10 1.000000000000000000e+00
4.088528568044991899e-09 4.986284076805889885e-10 1.000000000000000000e+00
4.717459790317434549e-10 9.844095133529952031e-11 2.000000000000000000e+00
9.871596160428753734e-10 1.644096794043732715e-10 2.000000000000000000e+00
1.079681856887285184e-09 1.755007940031869404e-10 2.000000000000000000e+00
1.170651981480645248e-09 1.637959047297507886e-10 3.000000000000000000e+00
1.366011995300601173e-09 1.839064356065388744e-10 3.000000000000000000e+00
1.138676901741515958e-09 1.822541020114210316e-10 2.000000000000000000e+00
4.047604131059098849e-09 4.926966991559633564e-10 1.000000000000000000e+00
1.263689546979488645e-09 1.734003554649946134e-10 3.000000000000000000e+00
1.235404972686739401e-09 1.704867184634038236e-10 3.000000000000000000e+00
4.255470695582742417e-09 5.234755204238579281e-10 1.000000000000000000e+00
4.140143468588351025e-09 5.061970361981291330e-10 1.000000000000000000e+00
2.507697587903479875e-09 3.025480947012379212e-10 1.000000000000000000e+00
1.150715230628570807e-09 1.836775974336290748e-10 2.000000000000000000e+00
9.856832105417746412e-10 1.446822043638705644e-10 3.000000000000000000e+00
3.976778997968952805e-09 4.825713257860396762e-10 1.000000000000000000e+00
3.789687745557261813e-09 4.566304301316437333e-10 1.000000000000000000e+00
1.093328661494802856e-09 1.771266734971721237e-10 2.000000000000000000e+00
3.971758870799025530e-09 4.818602249533998476e-10 1.000000000000000000e+00
3.064038967362774769e-09 3.654087668196105722e-10 1.000000000000000000e+00
1.186437789491409415e-09 1.654299309360602665e-10 3.000000000000000000e+00
3.936763546665475155e-09 4.769268549804201971e-10 1.000000000000000000e+00
1.106061347152094927e-09 1.783902983636340206e-10 2.000000000000000000e+00
1.170651981480645248e-09 1.637959047297507886e-10 3.000000000000000000e+00
1.064302310186143853e-09 1.736655066697830152e-10 2.000000000000000000e+00
4.057804481291712722e-09 4.941695258634481543e-10 1.000000000000000000e+00
1.292776672427971770e-09 1.763918810106675195e-10 3.000000000000000000e+00
4.308686686454715761e-09 5.316272355572050331e-10 1.000000000000000000e+00
1.028771300942917404e-09 1.492335096715863505e-10 3.000000000000000000e+00
4.319388661540705097e-09 5.332807181913333446e-10 1.000000000000000000e+00
8.069846295432377792e-10 1.423618085656330273e-10 2.000000000000000000e+00
3.818724419989628463e-09 4.605831968091822327e-10 1.000000000000000000e+00
3.633390259973196373e-09 4.357858211736580778e-10 1.000000000000000000e+00
1.304641837158643573e-09 1.776109260969598359e-10 3.000000000000000000e+00
4.155726855178426819e-09 5.085017099144751277e-10 1.000000000000000000e+00
4.176575340718175980e-09 5.115995081932762009e-10 1.000000000000000000e+00
3.857734983616912504e-09 4.659350994670489119e-10 1.000000000000000000e+00
4.181800042293389625e-09 5.123784408322888890e-10 1.000000000000000000e+00
1.269441974958184491e-09 1.739923412379625293e-10 3.000000000000000000e+00
9.353495028719850734e-10 1.581390333729069661e-10 2.000000000000000000e+00
1.246624073008219642e-09 1.716430015950275222e-10 3.000000000000000000e+00
1.009465390473902080e-09 1.670952373058397760e-10 2.000000000000000000e+00
1.033849526868041991e-09 1.700221362001604829e-10 2.000000000000000000e+00
6.847693301809641818e-10 1.118969310890881550e-10 3.000000000000000000e+00
4.057804481291712722e-09 4.941695258634481543e-10 1.000000000000000000e+00
9.061271264292680783e-10 1.362038052081032599e-10 3.000000000000000000e+00
4.114272455790628718e-09 5.023910504953307257e-10 1.000000000000000000e+00
7.260419032241629742e-10 1.321882781695489541e-10 2.000000000000000000e+00
3.732184852182505422e-09 4.488782444544942319e-10 1.000000000000000000e+00
4.378596116933832383e-09 5.425161162005208958e-10 1.000000000000000000e+00
1.105191645783278801e-09 1.569965465122571178e-10 3.000000000000000000e+00
8.868321725782092414e-10 1.522198975663954882e-10 2.000000000000000000e+00
7.270070061375597181e-10 1.323107937038325435e-10 2.000000000000000000e+00
9.933563345591893310e-10 1.651565822687826782e-10 2.000000000000000000e+00
3.780051070766696339e-09 4.553243104323158701e-10 1.000000000000000000e+00
1.111312288433708103e-09 1.790130833776912236e-10 2.000000000000000000e+00
4.119436506535588467e-09 5.031487589855966948e-10 1.000000000000000000e+00
1.123527264202046019e-09 1.804609664792627261e-10 2.000000000000000000e+00
1.175884778816881368e-09 1.643377872151503431e-10 3.000000000000000000e+00
1.037127509424082310e-09 1.704148618041016184e-10 2.000000000000000000e+00
4.088528568044991899e-09 4.986284076805889885e-10 1.000000000000000000e+00
1.005770334685815374e-09 1.666508264955437549e-10 2.000000000000000000e+00
1.024312710875933012e-09 1.688784938858213770e-10 2.000000000000000000e+00
3.961734197456648562e-09 4.804427972175530276e-10 1.000000000000000000e+00
3.794514002591224326e-09 4.572856300103333496e-10 1.000000000000000000e+00
4.303343017216123194e-09 5.308034139759215331e-10 1.000000000000000000e+00
3.624103294174485559e-09 4.345693419080651561e-10 1.000000000000000000e+00
1.202488568323777312e-09 1.670893843622338881e-10 3.000000000000000000e+00
8.973252578083675144e-10 1.535042655527255618e-10 2.000000000000000000e+00
4.068025359160820380e-09 4.956490589256580167e-10 1.000000000000000000e+00
4.017126556908123922e-09 4.883180536288312391e-10 1.000000000000000000e+00
3.887213603509331709e-09 4.700113946978042698e-10 1.000000000000000000e+00
4.223777992553869691e-09 5.186753289191726127e-10 1.000000000000000000e+00
3.981804314562925966e-09 4.832840242908276112e-10 1.000000000000000000e+00
4.124605637826896342e-09 5.039082064606593450e-10 1.000000000000000000e+00
8.314720798983104328e-10 1.454020248644358341e-10 2.000000000000000000e+00
3.852840254531151654e-09 4.652609499337260794e-10 1.000000000000000000e+00
4.037424339923651023e-09 4.912305382975012007e-10 1.000000000000000000e+00
1.102966901920273541e-09 1.780229362430891352e-10 2.000000000000000000e+00
4.697895332971295792e-10 9.816658314280546307e-11 2.000000000000000000e+00
4.103959614136863504e-09 5.008808292503362477e-10 1.000000000000000000e+00
3.717928185232278398e-09 4.469715027513285736e-10 1.000000000000000000e+00
3.756051848303516919e-09 4.520837855138295119e-10 1.000000000000000000e+00
3.794514002591224326e-09 4.572856300103333496e-10 1.000000000000000000e+00
1.046668581858295313e-09 1.511166515368035660e-10 3.000000000000000000e+00
3.941747261130176205e-09 4.776269048487776318e-10 1.000000000000000000e+00
8.223024881430628337e-10 1.442655120340979395e-10 2.000000000000000000e+00
4.083395094544570433e-09 4.978810222993204996e-10 1.000000000000000000e+00
